cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	Concepticon_Gloss	Concepticon_ID	concept_url
the Salang-Sigule list	1	toeboeh	NA	lichaam	body	badan, tubuh	4	4	1	FALSE										BODY	1480	https://concepticon.clld.org/parameters/1480
the Salang-Sigule list	2	toehoe	NA	hoofd	head	kepala	5	5	2	TRUE										HEAD	1256	https://concepticon.clld.org/parameters/1256
the Salang-Sigule list	3	moekò	NA	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE										FACE	1560	https://concepticon.clld.org/parameters/1560
the Salang-Sigule list	4	mata eugeu	NA	voorhoofd	forehead	dahi	24	25	4	FALSE										FOREHEAD	123	https://concepticon.clld.org/parameters/123
the Salang-Sigule list	5	galan doefoe	NA	schedel	skull	tempurung kepala	26	27	5	FALSE										SKULL	1605	https://concepticon.clld.org/parameters/1605
the Salang-Sigule list	6	boe doehoe	NA	hoofdhaar	hair	rambut	72	73	6	TRUE										HAIR	1040	https://concepticon.clld.org/parameters/1040
the Salang-Sigule list	8	oeloen doehoe	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE										CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
the Salang-Sigule list	9	goegoejoe	NA	oor	ear	telinga	8	8	9	TRUE										EAR	1247	https://concepticon.clld.org/parameters/1247
the Salang-Sigule list	11	mata	NA	oog	eye	mata	9	9	11	TRUE										EYE	1248	https://concepticon.clld.org/parameters/1248
the Salang-Sigule list	15	boe êngot	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE										EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Salang-Sigule list	17	iloeh mata	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE										TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
the Salang-Sigule list	18	ichoe	NA	neus	nose	hidung	11	11	16	TRUE										NOSE	1221	https://concepticon.clld.org/parameters/1221
the Salang-Sigule list	20	taī michoe	NA	snot	mucus	ingus	-	12	18	FALSE										NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
the Salang-Sigule list	21	gasang	NA	wang	cheek	pipi	23	24	19	FALSE										CHEEK	1730	https://concepticon.clld.org/parameters/1730
the Salang-Sigule list	22	bafah	NA	mond	mouth	mulut	12	13	-	TRUE										MOUTH	674	https://concepticon.clld.org/parameters/674
the Salang-Sigule list	25	bìfì	NA	lippen	lips	bibir (jamak)	13	14	-	FALSE										LIP	478	https://concepticon.clld.org/parameters/478
the Salang-Sigule list	27	goemi	NA	knevel	moustache	kumis	21	22	23	FALSE										MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
the Salang-Sigule list	28	djanggoe-i	NA	sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE										BEARD	678	https://concepticon.clld.org/parameters/678
the Salang-Sigule list	29	ímbí	NA	kin	chin	dagu	19	20	24	FALSE										CHIN	1510	https://concepticon.clld.org/parameters/1510
the Salang-Sigule list	30	bau	1	baard	beard	janggut	20	21	25	FALSE			djambé	whiskers						BEARD	678	https://concepticon.clld.org/parameters/678
the Salang-Sigule list	31	lélah	NA	tong	tongue	lidah	15	16	26	TRUE										TONGUE	1205	https://concepticon.clld.org/parameters/1205
the Salang-Sigule list	32	teumba teumba	NA	verhemelte	palate	langit-langit	16	17	27	FALSE										PALATE	540	https://concepticon.clld.org/parameters/540
the Salang-Sigule list	33	nifeu	NA	tand	tooth	gigi	17	18	28	TRUE										TOOTH	1380	https://concepticon.clld.org/parameters/1380
the Salang-Sigule list	34	bó-àh	NA	kies	molar	geraham	18	19	29	FALSE										MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
the Salang-Sigule list	35	niengi	NA	tandvlees	gums	gusi	-	-	30	FALSE										GUMS	139	https://concepticon.clld.org/parameters/139
the Salang-Sigule list	37	bêló-an	NA	keel	throat	kerongkongan	14	15	32	FALSE										THROAT	1346	https://concepticon.clld.org/parameters/1346
the Salang-Sigule list	38	nógoe	NA	hals	neck	leher	27	28	33	TRUE										NECK	1333	https://concepticon.clld.org/parameters/1333
the Salang-Sigule list	41/42	tòtò	NA	borsten < unsp. >	chest, breast (male) [ID_41]; breasts (female) [ID_42]	dada (laki-laki, jamak) [ID_41]; dada (perempuan, jamak) [ID_42]	34	36	-	TRUE										BREAST	1402	https://concepticon.clld.org/parameters/1402
the Salang-Sigule list	45	mata dòtò	NA	tepel	nipple	puting susu	35	37	38	FALSE										NIPPLE	796	https://concepticon.clld.org/parameters/796
the Salang-Sigule list	46	idaneu dòtò	NA	melk	breast milk	air susu	36	38	39	FALSE										BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
the Salang-Sigule list	48	mètòtò	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE										SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
the Salang-Sigule list	50	rósó	NA	rib	rib	tulang rusuk	69	70	42	FALSE										RIB	801	https://concepticon.clld.org/parameters/801
the Salang-Sigule list	52	gêmatan	NA	hart	heart	jantung	29	31	44	TRUE										HEART	1223	https://concepticon.clld.org/parameters/1223
